Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13376,2023,Qtr 3,July,28,M4.1,2023,Qtr 3,July,28,28,2023,Qtr 3,July,28,2023-07-28T15:39:00-Flr-001,Solar Flare,15,GOES-P: EXIS 1.0-8.0,7,"Associated With A Beautiful Bright Filament Eruption Seen Rising Right Behind The Nw Limb In Aia 131/304/193 At ~2023-07-28T15:44Z. This Is An Occulted Flare, Likely From Ar 13376 Which Had Rotated Behind The Limb To N25W99. Associated With A Type Ii Radio Burst.",2023,Qtr 3,July,28,N25W99,2023
0,2023,Qtr 3,July,29,C6.7,2023,Qtr 3,July,29,29,2023,Qtr 3,July,29,2023-07-29T06:55:00-Flr-001,Solar Flare,6,GOES-P: EXIS 1.0-8.0,7,"Flare Magnitude May Be Impacted By Foreshortening Due To Location Of Flare On The East Limb. Due To A Data Gap From 2023-07-29T06:46Z-07:51Z, Most Of This Flare Is Not Visible In Sdo Aia Imagery.",2023,Qtr 3,July,29,N15E88,2023
13380,2023,Qtr 3,July,29,M1.4,2023,Qtr 3,July,29,29,2023,Qtr 3,July,29,2023-07-29T16:11:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,7,Eruption Best Seen As Dimming In Sdo Aia 193 Was Observed Following This Flare.,2023,Qtr 3,July,29,S10W10,2023
13390,2023,Qtr 3,July,30,M1.8,2023,Qtr 3,July,30,30,2023,Qtr 3,July,30,2023-07-30T08:01:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,30,S18E57,2023
13390,2023,Qtr 3,July,30,M1.8,2023,Qtr 3,July,30,30,2023,Qtr 3,July,30,2023-07-30T08:18:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,30,S18E57,2023
13390,2023,Qtr 3,July,31,M1.6,2023,Qtr 3,July,31,31,2023,Qtr 3,July,31,2023-07-31T08:42:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,7,No Note,2023,Qtr 3,July,31,S20E43,2023
13380,2023,Qtr 3,August,1,M1.0,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T01:38:00-Flr-001,Solar Flare,1,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S10W40,2023
13380,2023,Qtr 3,August,1,M1.2,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T01:58:00-Flr-001,Solar Flare,1,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S10W40,2023
13380,2023,Qtr 3,August,1,M1.3,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T05:30:00-Flr-001,Solar Flare,5,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S10W45,2023
13380,2023,Qtr 3,August,1,M1.4,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T14:03:00-Flr-001,Solar Flare,14,GOES-P: EXIS 1.0-8.0,8,Peak Occurs At End Of Data Gap Due To Eclipse Of Goes Spacecraft.,2023,Qtr 3,August,1,S10W47,2023
13380,2023,Qtr 3,August,1,M1.5,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T09:03:00-Flr-001,Solar Flare,9,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S08W42,2023
